session_id,request_id,rank,score,relevant,clicked,defect,success,latency_ms,model_version,fallback
s007,r007-4,4,0.53249,1,1,none,1,16.215,2.0.0,0
s007,r007-5,5,0.44268,1,0,none,1,37.198,2.0.0,0
s008,r008-1,1,0.90794,1,1,missing_skill,1,16.011,2.0.0,0
s008,r008-2,2,0.79491,0,0,missing_skill,1,44.243,2.0.0,0
s008,r008-3,3,0.60367,1,0,missing_skill,1,35.019,2.0.0,0
s008,r008-4,4,0.47813,0,0,missing_skill,1,43.632,2.0.0,0
s008,r008-5,5,0.32787,0,0,missing_skill,1,16.068,2.0.0,0
s009,r009-1,1,0.92572,1,1,timeout,0,165.736,2.0.0,1
s009,r009-2,2,0.86078,1,0,timeout,1,19.404,2.0.0,0
s009,r009-3,3,0.64956,0,0,timeout,1,27.514,2.0.0,0
s009,r009-4,4,0.52719,1,0,timeout,1,17.883,2.0.0,0
s009,r009-5,5,0.42939,0,0,timeout,1,20.769,2.0.0,0
s010,r010-1,1,0.96191,1,0,none,1,20.757,2.0.0,0
s010,r010-2,2,0.86858,1,0,none,1,41.886,2.0.0,0
s010,r010-3,3,0.72646,1,0,none,1,18.15,2.0.0,0
s010,r010-4,4,0.50459,0,0,none,1,15.37,2.0.0,0
s010,r010-5,5,0.43886,1,1,none,1,42.228,2.0.0,0
s011,r011-1,1,0.89238,1,1,none,1,33.341,2.0.0,0
s011,r011-2,2,0.76058,1,0,none,1,27.087,2.0.0,0
s011,r011-3,3,0.53676,1,1,none,1,23.647,2.0.0,0
s011,r011-4,4,0.4151,1,1,none,1,36.697,2.0.0,0
s011,r011-5,5,0.37751,0,0,none,1,31.752,2.0.0,0
s012,r012-1,1,0.94376,1,1,none,1,34.008,2.0.0,0
s012,r012-2,2,0.71149,1,1,none,1,26.679,2.0.0,0
s012,r012-3,3,0.66159,1,1,none,1,29.865,2.0.0,0
s012,r012-4,4,0.55982,1,1,none,1,23.213,2.0.0,0
s012,r012-5,5,0.48606,1,1,none,1,24.351,2.0.0,0
s013,r013-1,1,0.93486,1,0,none,1,18.854,2.0.0,0
s013,r013-2,2,0.74078,1,1,none,1,26.079,2.0.0,0
s013,r013-3,3,0.62759,0,0,none,1,43.154,2.0.0,0
s013,r013-4,4,0.44723,0,0,none,1,16.666,2.0.0,0
s013,r013-5,5,0.32507,0,0,none,1,17.744,2.0.0,0
s014,r014-1,1,0.96551,0,0,cold_start,1,40.566,2.0.0,0
s014,r014-2,2,0.79605,1,1,cold_start,1,21.953,2.0.0,0
s014,r014-3,3,0.62624,1,1,cold_start,1,37.024,2.0.0,0
s014,r014-4,4,0.56175,0,0,cold_start,1,34.833,2.0.0,0
s014,r014-5,5,0.39875,0,0,cold_start,1,39.641,2.0.0,0
s015,r015-1,1,0.87704,1,1,none,1,26.92,2.0.0,0
s015,r015-2,2,0.79238,1,0,none,1,27.614,2.0.0,0
s015,r015-3,3,0.61185,0,0,none,1,16.403,2.0.0,0
s015,r015-4,4,0.46795,1,1,none,1,23.581,2.0.0,0
s015,r015-5,5,0.38798,0,0,none,1,33.698,2.0.0,0
s016,r016-1,1,0.88976,1,0,none,1,37.283,2.0.0,0
s016,r016-2,2,0.82432,1,1,none,1,29.447,2.0.0,0
s016,r016-3,3,0.67422,0,0,none,1,23.16,2.0.0,0
s016,r016-4,4,0.52978,1,1,none,1,37.863,2.0.0,0
s016,r016-5,5,0.37253,0,0,none,1,44.999,2.0.0,0
s017,r017-1,1,0.91016,1,0,stale_job,1,37.196,2.0.0,0
s017,r017-2,2,0.79714,1,0,stale_job,1,32.527,2.0.0,0
s017,r017-3,3,0.57218,1,1,stale_job,1,36.481,2.0.0,0
s017,r017-4,4,0.47943,0,0,stale_job,1,32.007,2.0.0,0
s017,r017-5,5,0.39065,0,0,stale_job,1,44.398,2.0.0,0
s018,r018-1,1,0.86355,1,1,stale_job,1,20.631,2.0.0,0
s018,r018-2,2,0.76633,1,1,stale_job,1,29.467,2.0.0,0
s018,r018-3,3,0.68506,1,1,stale_job,1,29.429,2.0.0,0
s018,r018-4,4,0.52529,1,1,stale_job,1,41.598,2.0.0,0
s018,r018-5,5,0.37722,1,0,stale_job,1,16.124,2.0.0,0
s019,r019-1,1,0.90937,1,0,none,1,19.779,2.0.0,0
s019,r019-2,2,0.77353,1,0,none,1,24.616,2.0.0,0
s019,r019-3,3,0.57373,0,0,none,1,32.427,2.0.0,0
s019,r019-4,4,0.4808,0,0,none,1,24.576,2.0.0,0
s019,r019-5,5,0.46732,0,0,none,1,23.833,2.0.0,0
s020,r020-1,1,0.87832,1,1,none,1,19.368,2.0.0,0
s020,r020-2,2,0.7857,0,0,none,1,26.33,2.0.0,0
s020,r020-3,3,0.58659,0,0,none,1,20.418,2.0.0,0
s020,r020-4,4,0.51706,1,1,none,1,32.331,2.0.0,0
s020,r020-5,5,0.41156,0,0,none,1,39.082,2.0.0,0
s021,r021-1,1,0.93161,0,0,missing_skill,1,15.349,2.0.0,0
s021,r021-2,2,0.79947,0,0,missing_skill,1,27.174,2.0.0,0
s021,r021-3,3,0.67871,0,0,missing_skill,1,33.461,2.0.0,0
s021,r021-4,4,0.48421,1,0,missing_skill,1,40.835,2.0.0,0
s021,r021-5,5,0.35975,0,0,missing_skill,1,38.474,2.0.0,0
s022,r022-1,1,0.95345,0,0,none,1,30.123,2.0.0,0
s022,r022-2,2,0.76897,0,0,none,1,34.236,2.0.0,0
s022,r022-3,3,0.68462,0,0,none,1,21.938,2.0.0,0
s022,r022-4,4,0.48758,1,1,none,1,28.946,2.0.0,0
s022,r022-5,5,0.44598,1,1,none,1,17.075,2.0.0,0
s023,r023-1,1,0.88234,1,1,cold_start,1,16.165,2.0.0,0
s023,r023-2,2,0.76013,0,0,cold_start,1,25.975,2.0.0,0
s023,r023-3,3,0.62467,0,0,cold_start,1,44.028,2.0.0,0
s023,r023-4,4,0.59619,0,0,cold_start,1,23.995,2.0.0,0
s023,r023-5,5,0.42539,0,0,cold_start,1,21.527,2.0.0,0
s024,r024-1,1,0.83552,1,1,timeout,0,153.036,2.0.0,1
s024,r024-2,2,0.77021,0,0,timeout,1,18.078,2.0.0,0
s024,r024-3,3,0.65076,0,0,timeout,1,43.019,2.0.0,0
s024,r024-4,4,0.49358,0,0,timeout,1,35.084,2.0.0,0
s024,r024-5,5,0.36812,0,0,timeout,1,19.366,2.0.0,0
s025,r025-1,1,0.89815,1,0,cold_start,1,21.784,2.0.0,0
s025,r025-2,2,0.79875,1,0,cold_start,1,22.057,2.0.0,0
s025,r025-3,3,0.65988,1,1,cold_start,1,44.229,2.0.0,0
s025,r025-4,4,0.54173,0,0,cold_start,1,19.564,2.0.0,0
s025,r025-5,5,0.38843,1,1,cold_start,1,36.081,2.0.0,0
s026,r026-1,1,0.97656,1,1,stale_job,1,37.76,2.0.0,0
s026,r026-2,2,0.79214,1,0,stale_job,1,26.619,2.0.0,0
s026,r026-3,3,0.72118,1,1,stale_job,1,24.21,2.0.0,0
s026,r026-4,4,0.50982,0,0,stale_job,1,36.792,2.0.0,0
s026,r026-5,5,0.3798,0,0,stale_job,1,19.785,2.0.0,0
s027,r027-1,1,0.93131,1,1,none,1,30.775,2.0.0,0
s027,r027-2,2,0.77673,0,0,none,1,43.783,2.0.0,0
s027,r027-3,3,0.72518,1,0,none,1,40.854,2.0.0,0
s027,r027-4,4,0.4724,0,0,none,1,19.721,2.0.0,0
s027,r027-5,5,0.49611,0,0,none,1,35.622,2.0.0,0
s028,r028-1,1,0.91648,1,0,stale_job,1,36.111,2.0.0,0
s028,r028-2,2,0.71138,1,1,stale_job,1,34.539,2.0.0,0
s028,r028-3,3,0.61066,0,0,stale_job,1,30.911,2.0.0,0
s028,r028-4,4,0.56334,0,0,stale_job,1,16.334,2.0.0,0
s028,r028-5,5,0.37977,0,0,stale_job,1,36.891,2.0.0,0
s029,r029-1,1,0.91395,1,1,none,1,39.629,2.0.0,0
s029,r029-2,2,0.73525,0,0,none,1,37.957,2.0.0,0
s029,r029-3,3,0.61295,1,1,none,1,31.083,2.0.0,0
s029,r029-4,4,0.47241,0,0,none,1,35.281,2.0.0,0
s029,r029-5,5,0.4148,1,1,none,1,28.67,2.0.0,0
s030,r030-1,1,0.9447,1,1,none,1,21.725,2.0.0,0
s030,r030-2,2,0.84418,1,0,none,1,34.175,2.0.0,0
s030,r030-3,3,0.6554,1,1,none,1,17.481,2.0.0,0
s030,r030-4,4,0.50944,1,1,none,1,37.596,2.0.0,0
s030,r030-5,5,0.4007,0,0,none,1,43.312,2.0.0,0
s031,r031-1,1,0.99773,1,1,timeout,0,146.959,2.0.0,1
s031,r031-2,2,0.77958,0,0,timeout,1,28.342,2.0.0,0
s031,r031-3,3,0.68278,1,1,timeout,1,17.229,2.0.0,0
s031,r031-4,4,0.54113,0,0,timeout,1,17.194,2.0.0,0
s031,r031-5,5,0.40074,1,1,timeout,1,36.253,2.0.0,0
s032,r032-1,1,0.8572,1,1,timeout,0,169.108,2.0.0,1
s032,r032-2,2,0.83808,1,1,timeout,1,34.504,2.0.0,0
s032,r032-3,3,0.69297,1,0,timeout,1,38.316,2.0.0,0
s032,r032-4,4,0.55737,1,1,timeout,1,25.275,2.0.0,0
s032,r032-5,5,0.34931,0,0,timeout,1,24.628,2.0.0,0
s033,r033-1,1,0.9402,1,1,none,1,43.372,2.0.0,0
s033,r033-2,2,0.78992,1,1,none,1,39.043,2.0.0,0
s033,r033-3,3,0.67095,1,1,none,1,24.817,2.0.0,0
s033,r033-4,4,0.55561,0,0,none,1,44.113,2.0.0,0
s033,r033-5,5,0.3791,1,1,none,1,22.34,2.0.0,0
s034,r034-1,1,0.93642,1,0,none,1,20.409,2.0.0,0
s034,r034-2,2,0.84859,1,1,none,1,32.838,2.0.0,0
s034,r034-3,3,0.64128,1,0,none,1,43.837,2.0.0,0
s034,r034-4,4,0.48002,0,0,none,1,22.557,2.0.0,0
s034,r034-5,5,0.40117,0,0,none,1,36.037,2.0.0,0
s035,r035-1,1,0.90922,1,1,none,1,22.515,2.0.0,0
s035,r035-2,2,0.81237,1,1,none,1,34.936,2.0.0,0
s035,r035-3,3,0.64866,1,0,none,1,35.51,2.0.0,0
s035,r035-4,4,0.54819,1,1,none,1,23.654,2.0.0,0
s035,r035-5,5,0.30617,1,1,none,1,36.593,2.0.0,0
s036,r036-1,1,0.93221,0,0,none,1,25.868,2.0.0,0
s036,r036-2,2,0.77926,1,0,none,1,44.267,2.0.0,0
s036,r036-3,3,0.63142,0,0,none,1,42.93,2.0.0,0
s036,r036-4,4,0.53134,1,1,none,1,41.614,2.0.0,0
s036,r036-5,5,0.28947,0,0,none,1,34.21,2.0.0,0
s037,r037-1,1,0.88764,1,1,cold_start,1,43.572,2.0.0,0
s037,r037-2,2,0.83547,0,0,cold_start,1,22.34,2.0.0,0
s037,r037-3,3,0.75038,0,0,cold_start,1,40.979,2.0.0,0
s037,r037-4,4,0.45734,1,1,cold_start,1,29.358,2.0.0,0
s037,r037-5,5,0.39611,0,0,cold_start,1,26.084,2.0.0,0
s038,r038-1,1,0.8642,0,0,stale_job,1,18.969,2.0.0,0
s038,r038-2,2,0.75938,0,0,stale_job,1,32.799,2.0.0,0
s038,r038-3,3,0.67647,0,0,stale_job,1,31.85,2.0.0,0
s038,r038-4,4,0.5459,0,0,stale_job,1,40.808,2.0.0,0
s038,r038-5,5,0.36029,0,0,stale_job,1,44.336,2.0.0,0
s039,r039-1,1,0.90735,1,0,none,1,31.317,2.0.0,0
s039,r039-2,2,0.76128,1,0,none,1,21.797,2.0.0,0
s039,r039-3,3,0.66476,0,0,none,1,28.66,2.0.0,0
s039,r039-4,4,0.55522,1,1,none,1,43.93,2.0.0,0
s039,r039-5,5,0.38098,0,0,none,1,39.694,2.0.0,0
s040,r040-1,1,0.88544,0,0,stale_job,1,19.607,2.0.0,0
s040,r040-2,2,0.82856,1,1,stale_job,1,30.386,2.0.0,0
s040,r040-3,3,0.63253,0,0,stale_job,1,37.599,2.0.0,0
s040,r040-4,4,0.55178,0,0,stale_job,1,37.012,2.0.0,0
s040,r040-5,5,0.32492,0,0,stale_job,1,17.166,2.0.0,0
s041,r041-1,1,0.97198,1,1,none,1,38.478,2.0.0,0
s041,r041-2,2,0.85146,1,1,none,1,23.241,2.0.0,0
s041,r041-3,3,0.68378,1,0,none,1,22.619,2.0.0,0
s041,r041-4,4,0.5404,1,1,none,1,31.011,2.0.0,0
s041,r041-5,5,0.3884,1,1,none,1,34.108,2.0.0,0
s042,r042-1,1,0.94396,1,0,none,1,33.696,2.0.0,0
s042,r042-2,2,0.75114,1,1,none,1,33.318,2.0.0,0
s042,r042-3,3,0.67761,0,0,none,1,30.058,2.0.0,0
s042,r042-4,4,0.54561,0,0,none,1,40.128,2.0.0,0
s042,r042-5,5,0.40856,1,1,none,1,21.645,2.0.0,0
s043,r043-1,1,0.87916,0,0,missing_skill,1,33.951,2.0.0,0
s043,r043-2,2,0.70861,1,0,missing_skill,1,31.483,2.0.0,0
s043,r043-3,3,0.6709,1,0,missing_skill,1,42.304,2.0.0,0
s043,r043-4,4,0.49824,0,0,missing_skill,1,30.066,2.0.0,0
s043,r043-5,5,0.44657,1,0,missing_skill,1,29.515,2.0.0,0
s044,r044-1,1,0.97329,1,1,missing_skill,1,26.041,2.0.0,0
s044,r044-2,2,0.80841,0,0,missing_skill,1,33.796,2.0.0,0
s044,r044-3,3,0.60837,0,0,missing_skill,1,15.806,2.0.0,0
s044,r044-4,4,0.61739,1,1,missing_skill,1,25.199,2.0.0,0
s044,r044-5,5,0.41689,0,0,missing_skill,1,29.776,2.0.0,0
s045,r045-1,1,0.99016,1,1,cold_start,1,30.447,2.0.0,0
s045,r045-2,2,0.81444,1,1,cold_start,1,38.805,2.0.0,0
s045,r045-3,3,0.57739,0,0,cold_start,1,34.743,2.0.0,0
s045,r045-4,4,0.54124,0,0,cold_start,1,16.358,2.0.0,0
s045,r045-5,5,0.41776,0,0,cold_start,1,25.856,2.0.0,0
s046,r046-1,1,0.95115,1,1,none,1,30.355,2.0.0,0
s046,r046-2,2,0.81158,1,1,none,1,35.608,2.0.0,0
s046,r046-3,3,0.5995,0,0,none,1,40.661,2.0.0,0
s046,r046-4,4,0.45669,0,0,none,1,37.498,2.0.0,0
s046,r046-5,5,0.4151,0,0,none,1,27.771,2.0.0,0
s047,r047-1,1,0.87319,1,1,none,1,35.985,2.0.0,0
s047,r047-2,2,0.72736,1,1,none,1,35.929,2.0.0,0
s047,r047-3,3,0.68196,0,0,none,1,25.818,2.0.0,0
s047,r047-4,4,0.58323,1,1,none,1,39.235,2.0.0,0
s047,r047-5,5,0.41409,0,0,none,1,39.655,2.0.0,0
s048,r048-1,1,0.91561,1,1,none,1,36.606,2.0.0,0
s048,r048-2,2,0.77857,1,1,none,1,34.92,2.0.0,0
s048,r048-3,3,0.6087,1,0,none,1,39.908,2.0.0,0
s048,r048-4,4,0.56914,1,1,none,1,33.244,2.0.0,0
s048,r048-5,5,0.4294,0,0,none,1,25.306,2.0.0,0
s049,r049-1,1,0.94096,1,1,missing_skill,1,40.453,2.0.0,0
s049,r049-2,2,0.80172,1,1,missing_skill,1,37.652,2.0.0,0
s049,r049-3,3,0.61375,0,0,missing_skill,1,44.195,2.0.0,0
s049,r049-4,4,0.48072,1,1,missing_skill,1,44.399,2.0.0,0
s049,r049-5,5,0.34534,0,0,missing_skill,1,18.224,2.0.0,0
s050,r050-1,1,0.92232,1,1,stale_job,1,22.835,2.0.0,0
s050,r050-2,2,0.8086,1,1,stale_job,1,31.408,2.0.0,0
s050,r050-3,3,0.61474,0,0,stale_job,1,18.298,2.0.0,0
s050,r050-4,4,0.54421,0,0,stale_job,1,21.726,2.0.0,0
s050,r050-5,5,0.31902,1,1,stale_job,1,25.485,2.0.0,0
s051,r051-1,1,0.98791,1,1,none,1,36.823,2.0.0,0
s051,r051-2,2,0.77546,1,1,none,1,38.228,2.0.0,0
s051,r051-3,3,0.71431,1,0,none,1,19.304,2.0.0,0
s051,r051-4,4,0.53223,1,1,none,1,25.473,2.0.0,0
s051,r051-5,5,0.43472,0,0,none,1,26.398,2.0.0,0
s052,r052-1,1,0.94707,0,0,timeout,0,145.18,2.0.0,1
s052,r052-2,2,0.81308,0,0,timeout,1,42.1,2.0.0,0
s052,r052-3,3,0.69615,0,0,timeout,1,24.835,2.0.0,0
s052,r052-4,4,0.50863,1,1,timeout,1,24.289,2.0.0,0
s052,r052-5,5,0.37571,0,0,timeout,1,19.124,2.0.0,0
s053,r053-1,1,0.86916,1,1,none,1,31.771,2.0.0,0
s053,r053-2,2,0.77703,0,0,none,1,18.334,2.0.0,0
s053,r053-3,3,0.70275,1,1,none,1,15.496,2.0.0,0
s053,r053-4,4,0.51017,0,0,none,1,20.53,2.0.0,0
s053,r053-5,5,0.42287,0,0,none,1,41.074,2.0.0,0
s054,r054-1,1,0.8916,1,1,cold_start,1,17.826,2.0.0,0
s054,r054-2,2,0.74507,1,1,cold_start,1,18.645,2.0.0,0
s054,r054-3,3,0.66216,0,0,cold_start,1,33.571,2.0.0,0
s054,r054-4,4,0.55997,1,1,cold_start,1,35.911,2.0.0,0
s054,r054-5,5,0.47151,1,0,cold_start,1,31.786,2.0.0,0
s055,r055-1,1,0.90707,1,1,missing_skill,1,19.864,2.0.0,0
s055,r055-2,2,0.73646,1,1,missing_skill,1,30.37,2.0.0,0
s055,r055-3,3,0.69256,0,0,missing_skill,1,42.844,2.0.0,0
s055,r055-4,4,0.50996,0,0,missing_skill,1,19.351,2.0.0,0
s055,r055-5,5,0.39863,1,1,missing_skill,1,28.191,2.0.0,0
s056,r056-1,1,0.90671,0,0,timeout,0,173.331,2.0.0,1
s056,r056-2,2,0.85263,1,1,timeout,1,44.844,2.0.0,0
s056,r056-3,3,0.66053,0,0,timeout,1,39.904,2.0.0,0
s056,r056-4,4,0.48293,0,0,timeout,1,44.168,2.0.0,0
s056,r056-5,5,0.40137,0,0,timeout,1,38.34,2.0.0,0
s057,r057-1,1,0.95858,1,0,missing_skill,1,41.517,2.0.0,0
s057,r057-2,2,0.77091,1,0,missing_skill,1,17.306,2.0.0,0
s057,r057-3,3,0.69799,1,1,missing_skill,1,40.831,2.0.0,0
s057,r057-4,4,0.50772,0,0,missing_skill,1,35.609,2.0.0,0
s057,r057-5,5,0.33508,0,0,missing_skill,1,17.654,2.0.0,0
s058,r058-1,1,0.93495,1,1,none,1,36.776,2.0.0,0
s058,r058-2,2,0.81126,1,0,none,1,31.7,2.0.0,0
s058,r058-3,3,0.64089,1,1,none,1,34.853,2.0.0,0
s058,r058-4,4,0.56266,1,1,none,1,17.125,2.0.0,0
s058,r058-5,5,0.38426,1,1,none,1,44.255,2.0.0,0
s059,r059-1,1,1.0093,1,1,cold_start,1,33.003,2.0.0,0
s059,r059-2,2,0.78621,0,0,cold_start,1,21.248,2.0.0,0
s059,r059-3,3,0.63393,0,0,cold_start,1,44.438,2.0.0,0
s059,r059-4,4,0.55259,1,1,cold_start,1,31.044,2.0.0,0
s059,r059-5,5,0.37702,0,0,cold_start,1,28.387,2.0.0,0
s060,r060-1,1,0.9216,1,1,stale_job,1,43.782,2.0.0,0
s060,r060-2,2,0.7725,1,0,stale_job,1,44.167,2.0.0,0
s060,r060-3,3,0.65348,0,0,stale_job,1,23.515,2.0.0,0
s060,r060-4,4,0.49021,0,0,stale_job,1,35.027,2.0.0,0
s060,r060-5,5,0.32217,0,0,stale_job,1,25.387,2.0.0,0
s061,r061-1,1,0.8991,1,1,none,1,43.347,2.0.0,0
s061,r061-2,2,0.77925,1,0,none,1,33.422,2.0.0,0
s061,r061-3,3,0.68635,1,0,none,1,38.342,2.0.0,0
s061,r061-4,4,0.47356,0,0,none,1,42.418,2.0.0,0
s061,r061-5,5,0.4165,0,0,none,1,18.434,2.0.0,0
s062,r062-1,1,0.98384,1,0,missing_skill,1,31.408,2.0.0,0
s062,r062-2,2,0.76336,0,0,missing_skill,1,32.148,2.0.0,0
s062,r062-3,3,0.57486,0,0,missing_skill,1,27.084,2.0.0,0
s062,r062-4,4,0.57712,0,0,missing_skill,1,23.385,2.0.0,0
s062,r062-5,5,0.42205,0,0,missing_skill,1,21.844,2.0.0,0
s063,r063-1,1,0.94344,1,0,none,1,32.145,2.0.0,0
s063,r063-2,2,0.78994,1,1,none,1,30.967,2.0.0,0
s063,r063-3,3,0.63341,0,0,none,1,30.542,2.0.0,0
s063,r063-4,4,0.51447,0,0,none,1,21.944,2.0.0,0
s063,r063-5,5,0.42767,0,0,none,1,41.958,2.0.0,0
s064,r064-1,1,0.84993,0,0,stale_job,1,35.375,2.0.0,0
s064,r064-2,2,0.78899,1,1,stale_job,1,41.035,2.0.0,0
s064,r064-3,3,0.65536,1,0,stale_job,1,38.662,2.0.0,0
s064,r064-4,4,0.56858,1,0,stale_job,1,43.408,2.0.0,0
s064,r064-5,5,0.38798,0,0,stale_job,1,40.551,2.0.0,0
s065,r065-1,1,0.95375,1,1,missing_skill,1,36.929,2.0.0,0
s065,r065-2,2,0.78328,1,0,missing_skill,1,42.363,2.0.0,0
s065,r065-3,3,0.66988,0,0,missing_skill,1,38.222,2.0.0,0
s065,r065-4,4,0.56383,1,1,missing_skill,1,33.497,2.0.0,0
s065,r065-5,5,0.42967,0,0,missing_skill,1,42.558,2.0.0,0
s066,r066-1,1,0.91629,1,1,missing_skill,1,18.49,2.0.0,0
s066,r066-2,2,0.81341,0,0,missing_skill,1,27.196,2.0.0,0
s066,r066-3,3,0.72041,1,1,missing_skill,1,33.004,2.0.0,0
s066,r066-4,4,0.52358,0,0,missing_skill,1,36.343,2.0.0,0
s066,r066-5,5,0.39656,0,0,missing_skill,1,24.801,2.0.0,0
s067,r067-1,1,0.94465,1,1,none,1,22.288,2.0.0,0
s067,r067-2,2,0.80785,1,1,none,1,32.291,2.0.0,0
s067,r067-3,3,0.65449,1,1,none,1,24.772,2.0.0,0
s067,r067-4,4,0.58303,1,1,none,1,17.226,2.0.0,0
s067,r067-5,5,0.37845,0,0,none,1,33.422,2.0.0,0
s068,r068-1,1,0.94237,0,0,timeout,0,170.959,2.0.0,1
s068,r068-2,2,0.84134,1,1,timeout,1,23.859,2.0.0,0
s068,r068-3,3,0.69462,1,1,timeout,1,22.123,2.0.0,0
s068,r068-4,4,0.55379,0,0,timeout,1,15.376,2.0.0,0
s068,r068-5,5,0.37219,1,1,timeout,1,37.207,2.0.0,0
s069,r069-1,1,0.99216,1,1,cold_start,1,37.719,2.0.0,0
s069,r069-2,2,0.8358,0,0,cold_start,1,36.509,2.0.0,0
s069,r069-3,3,0.59801,0,0,cold_start,1,28.014,2.0.0,0
s069,r069-4,4,0.55615,0,0,cold_start,1,30.13,2.0.0,0
s069,r069-5,5,0.4099,0,0,cold_start,1,25.966,2.0.0,0
s070,r070-1,1,0.90573,1,1,missing_skill,1,27.008,2.0.0,0
s070,r070-2,2,0.75664,0,0,missing_skill,1,31.912,2.0.0,0
s070,r070-3,3,0.72406,0,0,missing_skill,1,23.851,2.0.0,0
s070,r070-4,4,0.57616,1,1,missing_skill,1,31.902,2.0.0,0
s070,r070-5,5,0.45083,0,0,missing_skill,1,17.943,2.0.0,0
s071,r071-1,1,0.93485,0,0,cold_start,1,43.033,2.0.0,0
s071,r071-2,2,0.79149,0,0,cold_start,1,19.556,2.0.0,0
s071,r071-3,3,0.69413,1,1,cold_start,1,28.108,2.0.0,0
s071,r071-4,4,0.52374,1,1,cold_start,1,38.501,2.0.0,0
s071,r071-5,5,0.44616,0,0,cold_start,1,28.17,2.0.0,0
s072,r072-1,1,0.97664,1,0,missing_skill,1,37.136,2.0.0,0
s072,r072-2,2,0.79819,1,1,missing_skill,1,20.306,2.0.0,0
s072,r072-3,3,0.61571,1,0,missing_skill,1,18.352,2.0.0,0
s072,r072-4,4,0.48629,0,0,missing_skill,1,27.733,2.0.0,0
s072,r072-5,5,0.43768,0,0,missing_skill,1,36.678,2.0.0,0
s073,r073-1,1,0.90457,1,1,stale_job,1,26.198,2.0.0,0
s073,r073-2,2,0.7557,1,1,stale_job,1,22.254,2.0.0,0
s073,r073-3,3,0.63774,1,1,stale_job,1,43.039,2.0.0,0
s073,r073-4,4,0.51721,1,1,stale_job,1,44.269,2.0.0,0
s073,r073-5,5,0.4088,0,0,stale_job,1,30.982,2.0.0,0
s074,r074-1,1,0.91502,1,1,none,1,44.496,2.0.0,0
s074,r074-2,2,0.74036,1,1,none,1,25.489,2.0.0,0
s074,r074-3,3,0.7041,1,1,none,1,33.773,2.0.0,0
s074,r074-4,4,0.55041,0,0,none,1,26.226,2.0.0,0
s074,r074-5,5,0.40743,0,0,none,1,25.041,2.0.0,0
s075,r075-1,1,0.89515,1,1,none,1,37.888,2.0.0,0
s075,r075-2,2,0.7621,1,1,none,1,43.592,2.0.0,0
s075,r075-3,3,0.67145,1,0,none,1,28.192,2.0.0,0
s075,r075-4,4,0.57326,1,0,none,1,21.724,2.0.0,0
