window,request_id,latency_ms,success,score,correct,model_version
normal,n-0056,31.9055,1,0.81148,1,2.0.0
normal,n-0057,28.2755,1,0.76954,1,2.0.0
normal,n-0058,13.3286,1,0.92728,1,2.0.0
normal,n-0059,13.9474,1,0.9104,1,2.0.0
normal,n-0060,16.1035,1,0.49604,1,2.0.0
normal,n-0061,18.1716,1,0.88587,1,2.0.0
normal,n-0062,20.8867,1,0.47501,1,2.0.0
normal,n-0063,34.6737,1,0.43048,0,2.0.0
normal,n-0064,24.4197,1,0.60303,1,2.0.0
normal,n-0065,23.5605,1,0.27395,1,2.0.0
normal,n-0066,26.1084,1,0.89435,1,2.0.0
normal,n-0067,16.1757,1,0.79081,1,2.0.0
normal,n-0068,16.4757,1,0.55873,1,2.0.0
normal,n-0069,34.836,1,0.24898,1,2.0.0
normal,n-0070,22.6405,1,0.30367,1,2.0.0
normal,n-0071,32.904,1,0.33264,1,2.0.0
normal,n-0072,12.8961,1,0.56504,1,2.0.0
normal,n-0073,28.9326,1,0.45509,1,2.0.0
normal,n-0074,30.9859,1,0.85811,1,2.0.0
normal,n-0075,13.2732,1,0.90418,1,2.0.0
normal,n-0076,22.9428,1,0.23517,1,2.0.0
normal,n-0077,14.6082,1,0.60811,1,2.0.0
normal,n-0078,30.2526,1,0.30936,1,2.0.0
normal,n-0079,12.4934,1,0.46933,0,2.0.0
normal,n-0080,17.9117,1,0.43548,1,2.0.0
normal,n-0081,32.0651,1,0.56986,1,2.0.0
normal,n-0082,24.897,1,0.40044,1,2.0.0
normal,n-0083,21.7794,1,0.25051,1,2.0.0
normal,n-0084,13.2294,1,0.77245,1,2.0.0
normal,n-0085,23.1475,1,0.6449,1,2.0.0
normal,n-0086,26.7501,1,0.6708,0,2.0.0
normal,n-0087,33.5465,1,0.93396,1,2.0.0
normal,n-0088,23.1802,1,0.52254,1,2.0.0
normal,n-0089,25.686,1,0.94934,1,2.0.0
normal,n-0090,31.6293,1,0.39836,1,2.0.0
normal,n-0091,21.7363,1,0.92764,1,2.0.0
normal,n-0092,29.484,1,0.31118,1,2.0.0
normal,n-0093,22.8816,1,0.94375,1,2.0.0
normal,n-0094,18.0151,1,0.86526,1,2.0.0
normal,n-0095,18.4163,1,0.8524,1,2.0.0
normal,n-0096,32.224,1,0.60921,1,2.0.0
normal,n-0097,14.2943,1,0.85059,1,2.0.0
normal,n-0098,15.8852,1,0.94566,1,2.0.0
normal,n-0099,24.2896,1,0.7792,1,2.0.0
normal,n-0100,12.7869,1,0.42039,1,2.0.0
normal,n-0101,32.577,1,0.40553,1,2.0.0
normal,n-0102,26.5574,1,0.28815,1,2.0.0
normal,n-0103,24.6409,1,0.74426,1,2.0.0
normal,n-0104,34.7097,1,0.80401,1,2.0.0
normal,n-0105,32.2623,1,0.65789,0,2.0.0
normal,n-0106,17.2632,1,0.77967,1,2.0.0
normal,n-0107,21.1919,1,0.46609,1,2.0.0
normal,n-0108,34.507,1,0.71452,1,2.0.0
normal,n-0109,27.7711,1,0.83168,1,2.0.0
normal,n-0110,28.3569,1,0.22816,1,2.0.0
normal,n-0111,34.1529,1,0.63311,1,2.0.0
normal,n-0112,33.4938,1,0.62405,1,2.0.0
normal,n-0113,24.5908,1,0.62741,1,2.0.0
normal,n-0114,33.2447,1,0.64707,1,2.0.0
normal,n-0115,24.7065,1,0.55132,1,2.0.0
normal,n-0116,17.2233,1,0.41664,1,2.0.0
normal,n-0117,33.675,1,0.50505,1,2.0.0
normal,n-0118,22.8377,1,0.94711,1,2.0.0
normal,n-0119,19.8784,1,0.51865,1,2.0.0
normal,n-0120,19.554,1,0.41479,1,2.0.0
normal,n-0121,20.8511,1,0.21898,0,2.0.0
normal,n-0122,30.6006,1,0.45594,1,2.0.0
normal,n-0123,13.1324,1,0.66241,1,2.0.0
normal,n-0124,32.2728,1,0.93478,1,2.0.0
normal,n-0125,31.0912,1,0.7238,1,2.0.0
normal,n-0126,14.4936,1,0.28503,1,2.0.0
normal,n-0127,22.8481,1,0.46463,1,2.0.0
normal,n-0128,33.5927,1,0.56192,1,2.0.0
normal,n-0129,20.4329,1,0.6908,1,2.0.0
normal,n-0130,16.2138,1,0.88277,1,2.0.0
normal,n-0131,15.607,1,0.92674,1,2.0.0
normal,n-0132,21.8818,1,0.90508,1,2.0.0
normal,n-0133,27.158,1,0.73766,1,2.0.0
normal,n-0134,14.6165,1,0.93625,1,2.0.0
normal,n-0135,27.3473,1,0.67371,1,2.0.0
normal,n-0136,32.92,1,0.21818,1,2.0.0
normal,n-0137,18.5804,1,0.68089,0,2.0.0
normal,n-0138,17.7071,1,0.28259,1,2.0.0
normal,n-0139,31.6622,1,0.66457,1,2.0.0
normal,n-0140,28.3013,1,0.50621,1,2.0.0
normal,n-0141,19.3173,1,0.84043,0,2.0.0
normal,n-0142,20.9292,1,0.78498,0,2.0.0
normal,n-0143,14.4516,1,0.34324,1,2.0.0
normal,n-0144,19.6025,1,0.67953,0,2.0.0
normal,n-0145,16.5452,1,0.40807,1,2.0.0
normal,n-0146,28.803,1,0.31136,1,2.0.0
normal,n-0147,26.2821,1,0.77812,1,2.0.0
normal,n-0148,19.3596,1,0.63251,1,2.0.0
normal,n-0149,22.2965,1,0.78297,0,2.0.0
normal,n-0150,34.7933,1,0.33076,1,2.0.0
normal,n-0151,24.4846,1,0.61385,1,2.0.0
normal,n-0152,19.4503,1,0.49652,1,2.0.0
normal,n-0153,23.1869,1,0.88115,1,2.0.0
normal,n-0154,15.6356,1,0.38813,1,2.0.0
normal,n-0155,31.0028,1,0.22364,1,2.0.0
normal,n-0156,31.3488,1,0.47386,1,2.0.0
normal,n-0157,24.4601,1,0.2303,1,2.0.0
normal,n-0158,32.4525,1,0.24424,1,2.0.0
normal,n-0159,33.3909,1,0.43431,1,2.0.0
normal,n-0160,32.3,1,0.20104,1,2.0.0
normal,n-0161,25.7696,1,0.81967,1,2.0.0
normal,n-0162,27.7898,1,0.51032,0,2.0.0
normal,n-0163,19.2608,1,0.62187,1,2.0.0
normal,n-0164,18.9787,1,0.66275,1,2.0.0
normal,n-0165,29.38,1,0.38064,1,2.0.0
normal,n-0166,15.1443,1,0.67117,1,2.0.0
normal,n-0167,17.6395,1,0.78997,1,2.0.0
normal,n-0168,21.3272,1,0.61265,1,2.0.0
normal,n-0169,29.6192,1,0.22563,1,2.0.0
normal,n-0170,25.1261,1,0.24719,1,2.0.0
normal,n-0171,32.4739,1,0.37527,1,2.0.0
normal,n-0172,32.0453,1,0.25062,1,2.0.0
normal,n-0173,14.604,1,0.94382,1,2.0.0
normal,n-0174,27.4997,1,0.41638,1,2.0.0
normal,n-0175,28.743,1,0.20409,1,2.0.0
normal,n-0176,19.004,1,0.44401,1,2.0.0
normal,n-0177,26.326,1,0.21914,1,2.0.0
normal,n-0178,29.2778,1,0.4102,1,2.0.0
normal,n-0179,31.722,1,0.77766,1,2.0.0
normal,n-0180,14.2491,1,0.39168,1,2.0.0
normal,n-0181,23.3024,1,0.76808,1,2.0.0
normal,n-0182,25.2994,1,0.25249,1,2.0.0
normal,n-0183,21.2024,1,0.90786,1,2.0.0
normal,n-0184,34.4601,1,0.21037,1,2.0.0
normal,n-0185,22.8661,1,0.25304,1,2.0.0
normal,n-0186,34.5464,1,0.92937,1,2.0.0
normal,n-0187,27.647,1,0.46672,1,2.0.0
normal,n-0188,24.1106,1,0.45504,1,2.0.0
normal,n-0189,16.7067,1,0.58883,1,2.0.0
normal,n-0190,15.0445,1,0.32501,1,2.0.0
normal,n-0191,20.3595,1,0.48927,0,2.0.0
normal,n-0192,18.545,1,0.48199,1,2.0.0
normal,n-0193,33.8076,1,0.94059,1,2.0.0
normal,n-0194,12.0959,1,0.59384,0,2.0.0
normal,n-0195,17.693,1,0.77231,1,2.0.0
normal,n-0196,24.4571,1,0.90757,1,2.0.0
normal,n-0197,34.1387,1,0.42335,1,2.0.0
normal,n-0198,27.8929,1,0.62686,1,2.0.0
normal,n-0199,15.6164,1,0.4588,1,2.0.0
injected_failure,i-0000,134.2879,0,0.5,1,2.0.0
injected_failure,i-0001,138.9107,0,0.5,1,2.0.0
injected_failure,i-0002,168.5163,0,0.5,0,2.0.0
injected_failure,i-0003,167.8542,0,0.5,1,2.0.0
injected_failure,i-0004,131.033,0,0.5,1,2.0.0
injected_failure,i-0005,123.1357,0,0.5,0,2.0.0
injected_failure,i-0006,174.8634,0,0.5,1,2.0.0
injected_failure,i-0007,159.7723,0,0.5,1,2.0.0
injected_failure,i-0008,120.3524,0,0.5,1,2.0.0
injected_failure,i-0009,131.0875,0,0.5,1,2.0.0
injected_failure,i-0010,150.8167,0,0.5,1,2.0.0
injected_failure,i-0011,108.8924,0,0.5,1,2.0.0
injected_failure,i-0012,106.8838,1,0.5,0,2.0.0
injected_failure,i-0013,124.5094,1,0.5,1,2.0.0
injected_failure,i-0014,134.2456,1,0.5,1,2.0.0
injected_failure,i-0015,153.2778,1,0.5,1,2.0.0
injected_failure,i-0016,171.5024,1,0.5,1,2.0.0
injected_failure,i-0017,149.9768,1,0.5,0,2.0.0
injected_failure,i-0018,116.5183,1,0.5,0,2.0.0
injected_failure,i-0019,163.307,1,0.5,0,2.0.0
injected_failure,i-0020,140.0216,1,0.5,1,2.0.0
injected_failure,i-0021,163.1338,1,0.5,1,2.0.0
injected_failure,i-0022,151.853,1,0.5,1,2.0.0
injected_failure,i-0023,118.7536,1,0.5,1,2.0.0
injected_failure,i-0024,141.7916,1,0.5,0,2.0.0
injected_failure,i-0025,162.88,1,0.5,1,2.0.0
injected_failure,i-0026,165.225,1,0.5,0,2.0.0
injected_failure,i-0027,117.902,1,0.5,0,2.0.0
injected_failure,i-0028,107.4712,1,0.5,0,2.0.0
injected_failure,i-0029,175.2006,1,0.5,0,2.0.0
injected_failure,i-0030,114.3605,1,0.5,1,2.0.0
injected_failure,i-0031,109.3247,1,0.5,1,2.0.0
injected_failure,i-0032,95.3853,1,0.5,0,2.0.0
injected_failure,i-0033,114.5875,1,0.5,1,2.0.0
injected_failure,i-0034,100.4911,1,0.5,1,2.0.0
injected_failure,i-0035,85.8575,1,0.5,0,2.0.0
injected_failure,i-0036,165.5825,1,0.5,1,2.0.0
injected_failure,i-0037,97.2962,1,0.5,0,2.0.0
injected_failure,i-0038,121.267,1,0.5,0,2.0.0
injected_failure,i-0039,148.4409,1,0.5,0,2.0.0
injected_failure,i-0040,136.6065,1,0.5,1,2.0.0
injected_failure,i-0041,94.4795,1,0.5,0,2.0.0
injected_failure,i-0042,115.4775,1,0.5,1,2.0.0
injected_failure,i-0043,173.7793,1,0.5,1,2.0.0
injected_failure,i-0044,130.5341,1,0.5,1,2.0.0
injected_failure,i-0045,164.6248,1,0.5,1,2.0.0
injected_failure,i-0046,113.359,1,0.5,1,2.0.0
injected_failure,i-0047,95.0582,1,0.5,1,2.0.0
injected_failure,i-0048,155.5554,1,0.5,0,2.0.0
injected_failure,i-0049,112.3429,1,0.5,0,2.0.0
injected_failure,i-0050,128.0475,1,0.5,1,2.0.0
injected_failure,i-0051,154.6119,1,0.5,1,2.0.0
injected_failure,i-0052,91.9581,1,0.5,1,2.0.0
injected_failure,i-0053,145.1957,1,0.5,1,2.0.0
injected_failure,i-0054,140.553,1,0.5,1,2.0.0
injected_failure,i-0055,107.0594,1,0.5,1,2.0.0
injected_failure,i-0056,161.7581,1,0.5,1,2.0.0
injected_failure,i-0057,91.6402,1,0.5,1,2.0.0
injected_failure,i-0058,100.3121,1,0.5,1,2.0.0
injected_failure,i-0059,174.7705,1,0.5,1,2.0.0
injected_failure,i-0060,175.0684,1,0.5,1,2.0.0
injected_failure,i-0061,91.9962,1,0.5,0,2.0.0
injected_failure,i-0062,145.2577,1,0.5,1,2.0.0
injected_failure,i-0063,94.563,1,0.5,0,2.0.0
injected_failure,i-0064,163.8429,1,0.5,1,2.0.0
injected_failure,i-0065,121.2165,1,0.5,0,2.0.0
injected_failure,i-0066,173.5397,1,0.5,1,2.0.0
injected_failure,i-0067,122.4627,1,0.5,1,2.0.0
injected_failure,i-0068,147.155,1,0.5,0,2.0.0
injected_failure,i-0069,157.5431,1,0.5,1,2.0.0
injected_failure,i-0070,90.8915,1,0.5,1,2.0.0
injected_failure,i-0071,91.2247,1,0.5,1,2.0.0
injected_failure,i-0072,116.8977,1,0.5,1,2.0.0
injected_failure,i-0073,131.6524,1,0.5,1,2.0.0
injected_failure,i-0074,155.7753,1,0.5,1,2.0.0
injected_failure,i-0075,150.711,1,0.5,1,2.0.0
injected_failure,i-0076,154.7873,1,0.5,0,2.0.0
injected_failure,i-0077,89.5576,1,0.5,1,2.0.0
injected_failure,i-0078,95.3467,1,0.5,1,2.0.0
injected_failure,i-0079,99.3973,1,0.5,0,2.0.0
injected_failure,i-0080,115.3299,1,0.5,0,2.0.0
injected_failure,i-0081,134.819,1,0.5,0,2.0.0
injected_failure,i-0082,109.826,1,0.5,0,2.0.0
injected_failure,i-0083,90.4033,1,0.5,0,2.0.0
injected_failure,i-0084,165.5729,1,0.5,1,2.0.0
injected_failure,i-0085,134.1525,1,0.5,1,2.0.0
injected_failure,i-0086,100.6659,1,0.5,0,2.0.0
injected_failure,i-0087,91.5624,1,0.5,0,2.0.0
injected_failure,i-0088,127.9361,1,0.5,1,2.0.0
injected_failure,i-0089,107.4189,1,0.5,1,2.0.0
injected_failure,i-0090,99.1785,1,0.5,0,2.0.0
injected_failure,i-0091,176.8072,1,0.5,0,2.0.0
injected_failure,i-0092,90.5047,1,0.5,1,2.0.0
injected_failure,i-0093,116.9149,1,0.5,0,2.0.0
injected_failure,i-0094,172.0416,1,0.5,1,2.0.0
injected_failure,i-0095,115.8889,1,0.5,1,2.0.0
injected_failure,i-0096,159.2262,1,0.5,0,2.0.0
injected_failure,i-0097,117.967,1,0.5,1,2.0.0
injected_failure,i-0098,128.8735,1,0.5,0,2.0.0
injected_failure,i-0099,166.4031,1,0.5,0,2.0.0
injected_failure,i-0100,158.2238,1,0.5,1,2.0.0
injected_failure,i-0101,160.2984,1,0.5,1,2.0.0
injected_failure,i-0102,161.3864,1,0.5,1,2.0.0
injected_failure,i-0103,165.9946,1,0.5,0,2.0.0
injected_failure,i-0104,96.549,1,0.5,0,2.0.0
injected_failure,i-0105,120.0456,1,0.5,1,2.0.0
injected_failure,i-0106,95.1182,1,0.5,1,2.0.0
injected_failure,i-0107,127.3234,1,0.5,1,2.0.0
injected_failure,i-0108,122.5139,1,0.5,1,2.0.0
injected_failure,i-0109,153.6165,1,0.5,0,2.0.0
injected_failure,i-0110,119.5999,1,0.5,0,2.0.0
injected_failure,i-0111,155.8946,1,0.5,1,2.0.0
injected_failure,i-0112,139.7574,1,0.5,1,2.0.0
injected_failure,i-0113,164.7986,1,0.5,0,2.0.0
injected_failure,i-0114,134.6306,1,0.5,1,2.0.0
injected_failure,i-0115,83.1911,1,0.5,1,2.0.0
injected_failure,i-0116,165.6006,1,0.5,0,2.0.0
injected_failure,i-0117,103.7796,1,0.5,0,2.0.0
injected_failure,i-0118,101.1314,1,0.5,1,2.0.0
injected_failure,i-0119,95.4075,1,0.5,1,2.0.0
injected_failure,i-0120,92.478,1,0.5,0,2.0.0
injected_failure,i-0121,129.2178,1,0.5,1,2.0.0
injected_failure,i-0122,169.2386,1,0.5,1,2.0.0
injected_failure,i-0123,108.881,1,0.5,1,2.0.0
injected_failure,i-0124,99.1244,1,0.5,0,2.0.0
injected_failure,i-0125,117.4705,1,0.5,1,2.0.0
injected_failure,i-0126,100.4127,1,0.5,1,2.0.0
injected_failure,i-0127,177.2003,1,0.5,1,2.0.0
injected_failure,i-0128,111.4614,1,0.5,1,2.0.0
injected_failure,i-0129,174.3699,1,0.5,0,2.0.0
injected_failure,i-0130,81.5784,1,0.5,0,2.0.0
injected_failure,i-0131,109.5465,1,0.5,1,2.0.0
injected_failure,i-0132,88.2964,1,0.5,1,2.0.0
injected_failure,i-0133,157.3495,1,0.5,0,2.0.0
injected_failure,i-0134,142.7677,1,0.5,0,2.0.0
injected_failure,i-0135,149.1168,1,0.5,1,2.0.0
injected_failure,i-0136,126.3831,1,0.5,1,2.0.0
injected_failure,i-0137,120.6797,1,0.5,0,2.0.0
injected_failure,i-0138,112.3426,1,0.5,1,2.0.0
injected_failure,i-0139,80.411,1,0.5,1,2.0.0
injected_failure,i-0140,132.289,1,0.5,0,2.0.0
injected_failure,i-0141,164.8004,1,0.5,0,2.0.0
injected_failure,i-0142,117.2451,1,0.5,0,2.0.0
injected_failure,i-0143,166.4853,1,0.5,0,2.0.0
injected_failure,i-0144,118.709,1,0.5,1,2.0.0
injected_failure,i-0145,147.7752,1,0.5,1,2.0.0
injected_failure,i-0146,104.7036,1,0.5,1,2.0.0
injected_failure,i-0147,167.8039,1,0.5,1,2.0.0
injected_failure,i-0148,91.0653,1,0.5,1,2.0.0
injected_failure,i-0149,115.1495,1,0.5,1,2.0.0
injected_failure,i-0150,153.3465,1,0.5,1,2.0.0
injected_failure,i-0151,140.7085,1,0.5,0,2.0.0
injected_failure,i-0152,150.4903,1,0.5,1,2.0.0
injected_failure,i-0153,158.1538,1,0.5,0,2.0.0
injected_failure,i-0154,144.9695,1,0.5,1,2.0.0
injected_failure,i-0155,121.3694,1,0.5,1,2.0.0
injected_failure,i-0156,158.4224,1,0.5,0,2.0.0
injected_failure,i-0157,97.3449,1,0.5,1,2.0.0
injected_failure,i-0158,122.4076,1,0.5,0,2.0.0
injected_failure,i-0159,100.704,1,0.5,0,2.0.0
injected_failure,i-0160,171.047,1,0.5,1,2.0.0
injected_failure,i-0161,101.6014,1,0.5,1,2.0.0
injected_failure,i-0162,126.1223,1,0.5,0,2.0.0
injected_failure,i-0163,92.183,1,0.5,1,2.0.0
injected_failure,i-0164,115.9576,1,0.5,1,2.0.0
injected_failure,i-0165,121.6033,1,0.5,1,2.0.0
injected_failure,i-0166,162.3567,1,0.5,0,2.0.0
injected_failure,i-0167,86.6524,1,0.5,1,2.0.0
injected_failure,i-0168,94.1872,1,0.5,0,2.0.0
injected_failure,i-0169,83.5756,1,0.5,0,2.0.0
injected_failure,i-0170,113.4956,1,0.5,0,2.0.0
injected_failure,i-0171,113.8196,1,0.5,0,2.0.0
injected_failure,i-0172,83.9725,1,0.5,1,2.0.0
injected_failure,i-0173,99.7008,1,0.5,1,2.0.0
injected_failure,i-0174,172.0464,1,0.5,0,2.0.0
injected_failure,i-0175,117.712,1,0.5,1,2.0.0
injected_failure,i-0176,89.1829,1,0.5,1,2.0.0
injected_failure,i-0177,161.5514,1,0.5,1,2.0.0
injected_failure,i-0178,170.7656,1,0.5,1,2.0.0
injected_failure,i-0179,96.4648,1,0.5,1,2.0.0
injected_failure,i-0180,130.7698,1,0.5,1,2.0.0
injected_failure,i-0181,151.9236,1,0.5,0,2.0.0
injected_failure,i-0182,108.3323,1,0.5,0,2.0.0
injected_failure,i-0183,80.1656,1,0.5,0,2.0.0
injected_failure,i-0184,134.7843,1,0.5,1,2.0.0
injected_failure,i-0185,114.7904,1,0.5,0,2.0.0
injected_failure,i-0186,84.8846,1,0.5,0,2.0.0
injected_failure,i-0187,130.2981,1,0.5,1,2.0.0
injected_failure,i-0188,91.3234,1,0.5,0,2.0.0
injected_failure,i-0189,123.4076,1,0.5,1,2.0.0
injected_failure,i-0190,125.3291,1,0.5,0,2.0.0
injected_failure,i-0191,144.0451,1,0.5,0,2.0.0
injected_failure,i-0192,144.1515,1,0.5,0,2.0.0
injected_failure,i-0193,83.3181,1,0.5,1,2.0.0
injected_failure,i-0194,167.4135,1,0.5,1,2.0.0
injected_failure,i-0195,97.3491,1,0.5,1,2.0.0
injected_failure,i-0196,112.038,1,0.5,0,2.0.0
injected_failure,i-0197,96.7981,1,0.5,1,2.0.0
injected_failure,i-0198,124.2852,1,0.5,1,2.0.0
injected_failure,i-0199,95.334,1,0.5,1,2.0.0
