window,request_id,latency_ms,success,score,correct
healthy,healthy-112,27.5795,1,0.24711,1
healthy,healthy-113,42.2543,1,0.71962,1
healthy,healthy-114,40.2481,1,0.3021,1
healthy,healthy-115,22.9565,1,0.93597,1
healthy,healthy-116,49.4011,1,0.457,1
healthy,healthy-117,34.2143,1,0.9038,1
healthy,healthy-118,46.6574,1,0.18926,1
healthy,healthy-119,19.0822,1,0.63667,1
healthy,healthy-120,23.4247,1,0.52906,1
healthy,healthy-121,35.4767,1,0.64371,1
healthy,healthy-122,35.3537,1,0.48763,1
healthy,healthy-123,52.7089,1,0.36716,1
healthy,healthy-124,34.9318,1,0.40469,0
healthy,healthy-125,49.8655,1,0.29226,1
healthy,healthy-126,49.0525,1,0.84204,1
healthy,healthy-127,18.5865,1,0.70706,1
healthy,healthy-128,44.61,1,0.24188,1
healthy,healthy-129,21.4412,1,0.62214,1
healthy,healthy-130,20.1775,1,0.82909,1
healthy,healthy-131,41.9318,1,0.42858,1
healthy,healthy-132,38.9751,1,0.32963,1
healthy,healthy-133,21.9612,1,0.27889,1
healthy,healthy-134,36.7442,1,0.62649,1
healthy,healthy-135,39.2526,1,0.49365,1
healthy,healthy-136,37.5493,1,0.53924,1
healthy,healthy-137,45.5154,1,0.19042,1
healthy,healthy-138,42.6446,1,0.94836,1
healthy,healthy-139,36.976,1,0.70097,1
healthy,healthy-140,29.0671,1,0.8935,1
healthy,healthy-141,44.5678,1,0.15637,1
healthy,healthy-142,49.1001,1,0.66204,1
healthy,healthy-143,40.4877,1,0.27576,1
healthy,healthy-144,37.0768,1,0.60668,0
healthy,healthy-145,34.5296,1,0.71112,1
healthy,healthy-146,21.7547,1,0.92491,1
healthy,healthy-147,53.518,1,0.84831,1
healthy,healthy-148,40.1522,1,0.67319,1
healthy,healthy-149,27.9064,1,0.30225,1
healthy,healthy-150,31.4873,1,0.91769,1
healthy,healthy-151,42.1485,1,0.9453,1
healthy,healthy-152,32.5903,1,0.90757,1
healthy,healthy-153,46.5426,1,0.77248,0
healthy,healthy-154,21.5931,1,0.43702,1
healthy,healthy-155,30.2926,1,0.29963,1
healthy,healthy-156,25.6305,1,0.6819,1
healthy,healthy-157,46.5413,1,0.72109,1
healthy,healthy-158,39.3106,1,0.62716,1
healthy,healthy-159,46.664,1,0.86569,0
healthy,healthy-160,37.0123,1,0.71337,0
healthy,healthy-161,38.5351,1,0.48549,1
healthy,healthy-162,20.4043,1,0.83937,0
healthy,healthy-163,38.1829,1,0.7896,1
healthy,healthy-164,19.798,1,0.45139,1
healthy,healthy-165,40.7735,1,0.27532,1
healthy,healthy-166,30.6722,1,0.19449,1
healthy,healthy-167,46.4376,1,0.91242,1
healthy,healthy-168,47.5698,1,0.68015,1
healthy,healthy-169,29.9241,1,0.30443,1
healthy,healthy-170,47.729,1,0.59524,1
healthy,healthy-171,20.8563,1,0.68669,1
healthy,healthy-172,39.8486,1,0.36603,1
healthy,healthy-173,44.0696,1,0.34781,1
healthy,healthy-174,45.1422,1,0.22915,1
healthy,healthy-175,26.452,1,0.83247,1
healthy,healthy-176,45.0862,1,0.88563,0
healthy,healthy-177,48.1423,1,0.29753,1
healthy,healthy-178,22.176,1,0.30368,1
healthy,healthy-179,32.0709,1,0.7714,1
healthy,healthy-180,22.3691,1,0.18768,1
healthy,healthy-181,49.992,1,0.91534,1
healthy,healthy-182,46.3948,1,0.45544,1
healthy,healthy-183,27.1469,1,0.59331,1
healthy,healthy-184,20.2321,1,0.54878,1
healthy,healthy-185,18.839,1,0.19177,1
healthy,healthy-186,54.566,1,0.74606,1
healthy,healthy-187,40.3889,1,0.91892,1
healthy,healthy-188,20.0375,1,0.80524,1
healthy,healthy-189,48.6443,1,0.80644,0
healthy,healthy-190,46.6079,1,0.34488,1
healthy,healthy-191,26.6368,1,0.49214,1
healthy,healthy-192,35.5057,1,0.3659,1
healthy,healthy-193,27.4285,1,0.5246,1
healthy,healthy-194,39.9043,1,0.90778,1
healthy,healthy-195,30.8051,1,0.8344,1
healthy,healthy-196,34.5054,1,0.86142,1
healthy,healthy-197,22.621,1,0.8356,1
healthy,healthy-198,24.6203,1,0.73334,1
healthy,healthy-199,22.3699,1,0.42499,1
healthy,healthy-200,40.4061,1,0.26973,0
healthy,healthy-201,39.075,1,0.37021,1
healthy,healthy-202,51.6413,1,0.1797,1
healthy,healthy-203,25.9253,1,0.6256,0
healthy,healthy-204,37.4111,1,0.58484,1
healthy,healthy-205,43.3208,1,0.23864,1
healthy,healthy-206,41.2341,1,0.59586,1
healthy,healthy-207,26.6128,1,0.21403,0
healthy,healthy-208,54.1372,1,0.50328,1
healthy,healthy-209,52.2989,1,0.90109,1
healthy,healthy-210,24.8749,1,0.76563,1
healthy,healthy-211,29.2252,1,0.19905,1
healthy,healthy-212,38.3835,1,0.87752,1
healthy,healthy-213,29.9053,1,0.29123,1
healthy,healthy-214,30.4226,1,0.77521,1
healthy,healthy-215,22.1773,1,0.90767,1
healthy,healthy-216,28.3272,1,0.92192,1
healthy,healthy-217,26.5821,1,0.69721,1
healthy,healthy-218,40.4409,1,0.38006,1
healthy,healthy-219,45.3071,1,0.7298,1
healthy,healthy-220,44.4414,1,0.39316,1
healthy,healthy-221,22.2657,1,0.39216,1
healthy,healthy-222,22.5677,1,0.18721,1
healthy,healthy-223,32.1413,1,0.47702,1
healthy,healthy-224,25.3075,1,0.71855,1
healthy,healthy-225,28.2225,1,0.92661,1
healthy,healthy-226,36.3069,1,0.71862,1
healthy,healthy-227,41.1255,1,0.16958,1
healthy,healthy-228,33.3897,1,0.47457,1
healthy,healthy-229,51.0338,1,0.28728,1
healthy,healthy-230,21.262,1,0.80682,1
healthy,healthy-231,28.0151,1,0.49141,1
healthy,healthy-232,18.2491,1,0.51957,1
healthy,healthy-233,31.1144,1,0.90344,1
healthy,healthy-234,31.1091,1,0.22966,1
healthy,healthy-235,35.4953,1,0.4623,1
healthy,healthy-236,48.8762,1,0.89873,1
healthy,healthy-237,22.7091,1,0.54338,1
healthy,healthy-238,44.2487,1,0.38505,1
healthy,healthy-239,35.9459,1,0.84246,0
latency_breach,latency_breach-0,151.3117,0,0.16843,1
latency_breach,latency_breach-1,129.3099,0,0.79705,0
latency_breach,latency_breach-2,137.8717,0,0.80555,1
latency_breach,latency_breach-3,179.2902,0,0.92221,1
latency_breach,latency_breach-4,122.703,0,0.8558,0
latency_breach,latency_breach-5,118.7663,1,0.90679,1
latency_breach,latency_breach-6,96.4913,1,0.81495,1
latency_breach,latency_breach-7,156.7866,1,0.5945,1
latency_breach,latency_breach-8,105.9812,1,0.44202,1
latency_breach,latency_breach-9,125.1005,1,0.31153,1
latency_breach,latency_breach-10,166.7299,1,0.60489,1
latency_breach,latency_breach-11,92.5912,1,0.15399,1
latency_breach,latency_breach-12,165.4638,1,0.83335,1
latency_breach,latency_breach-13,164.4805,1,0.78479,0
latency_breach,latency_breach-14,152.6189,1,0.8458,1
latency_breach,latency_breach-15,99.3565,1,0.91873,1
latency_breach,latency_breach-16,90.3478,1,0.49227,1
latency_breach,latency_breach-17,176.7068,1,0.52212,1
latency_breach,latency_breach-18,108.879,1,0.78535,1
latency_breach,latency_breach-19,106.9154,1,0.52634,1
latency_breach,latency_breach-20,172.4431,1,0.91532,0
latency_breach,latency_breach-21,149.3818,1,0.72857,1
latency_breach,latency_breach-22,149.7724,1,0.35979,1
latency_breach,latency_breach-23,161.2806,1,0.44156,1
latency_breach,latency_breach-24,114.6389,1,0.45823,1
latency_breach,latency_breach-25,149.1976,1,0.33672,1
latency_breach,latency_breach-26,126.5889,1,0.46182,1
latency_breach,latency_breach-27,167.713,1,0.60128,1
latency_breach,latency_breach-28,102.6389,1,0.38711,1
latency_breach,latency_breach-29,104.2655,1,0.61841,1
latency_breach,latency_breach-30,109.8713,1,0.56994,1
latency_breach,latency_breach-31,118.6849,1,0.66178,1
latency_breach,latency_breach-32,94.0898,1,0.38071,0
latency_breach,latency_breach-33,117.1933,1,0.44039,1
latency_breach,latency_breach-34,135.5878,1,0.81354,1
latency_breach,latency_breach-35,113.3887,1,0.82773,1
latency_breach,latency_breach-36,112.7942,1,0.18099,1
latency_breach,latency_breach-37,97.5189,1,0.911,1
latency_breach,latency_breach-38,126.9452,1,0.24534,1
latency_breach,latency_breach-39,125.4148,1,0.48312,1
latency_breach,latency_breach-40,123.7963,1,0.79055,1
latency_breach,latency_breach-41,142.5311,1,0.75066,1
latency_breach,latency_breach-42,101.2839,1,0.58328,1
latency_breach,latency_breach-43,142.8005,1,0.54126,1
latency_breach,latency_breach-44,135.0246,1,0.21122,1
latency_breach,latency_breach-45,143.4068,1,0.28162,1
latency_breach,latency_breach-46,104.9721,1,0.72369,1
latency_breach,latency_breach-47,166.0176,1,0.29427,1
latency_breach,latency_breach-48,134.6548,1,0.61456,1
latency_breach,latency_breach-49,129.2219,1,0.46083,1
latency_breach,latency_breach-50,104.3628,1,0.8559,1
latency_breach,latency_breach-51,173.1828,1,0.39727,1
latency_breach,latency_breach-52,107.8323,1,0.36857,0
latency_breach,latency_breach-53,179.9354,1,0.56827,1
latency_breach,latency_breach-54,160.5817,1,0.66437,1
latency_breach,latency_breach-55,95.4608,1,0.83734,1
latency_breach,latency_breach-56,125.1238,1,0.35683,1
latency_breach,latency_breach-57,93.1613,1,0.90942,1
latency_breach,latency_breach-58,178.934,1,0.77534,0
latency_breach,latency_breach-59,173.3335,1,0.42081,1
latency_breach,latency_breach-60,91.9261,1,0.74962,1
latency_breach,latency_breach-61,92.0174,1,0.21489,1
latency_breach,latency_breach-62,150.5946,1,0.84757,0
latency_breach,latency_breach-63,145.2444,1,0.60202,1
latency_breach,latency_breach-64,91.1195,1,0.52444,1
latency_breach,latency_breach-65,148.7444,1,0.76061,0
latency_breach,latency_breach-66,131.3237,1,0.46288,0
latency_breach,latency_breach-67,161.2656,1,0.68527,0
latency_breach,latency_breach-68,163.5895,1,0.36105,1
latency_breach,latency_breach-69,152.0939,1,0.44083,1
latency_breach,latency_breach-70,130.0989,1,0.26171,0
latency_breach,latency_breach-71,137.5437,1,0.15171,1
latency_breach,latency_breach-72,110.9229,1,0.3123,1
latency_breach,latency_breach-73,97.1255,1,0.87357,1
latency_breach,latency_breach-74,92.3587,1,0.65927,0
latency_breach,latency_breach-75,106.5587,1,0.38619,1
latency_breach,latency_breach-76,158.7096,1,0.20564,1
latency_breach,latency_breach-77,133.5539,1,0.56585,1
latency_breach,latency_breach-78,126.9877,1,0.63787,1
latency_breach,latency_breach-79,149.788,1,0.89348,1
latency_breach,latency_breach-80,98.1665,1,0.80286,0
latency_breach,latency_breach-81,121.516,1,0.76264,1
latency_breach,latency_breach-82,111.5887,1,0.48516,1
latency_breach,latency_breach-83,90.3006,1,0.31624,1
latency_breach,latency_breach-84,171.1077,1,0.71785,1
latency_breach,latency_breach-85,96.2011,1,0.4169,1
latency_breach,latency_breach-86,129.7124,1,0.50531,1
latency_breach,latency_breach-87,137.3318,1,0.68175,1
latency_breach,latency_breach-88,139.0717,1,0.18383,0
latency_breach,latency_breach-89,175.4564,1,0.41626,1
latency_breach,latency_breach-90,154.9854,1,0.25686,1
latency_breach,latency_breach-91,155.9295,1,0.1862,1
latency_breach,latency_breach-92,122.2131,1,0.302,1
latency_breach,latency_breach-93,145.0439,1,0.53524,0
latency_breach,latency_breach-94,148.9986,1,0.52637,1
latency_breach,latency_breach-95,93.8132,1,0.85487,1
latency_breach,latency_breach-96,152.2856,1,0.40429,1
latency_breach,latency_breach-97,154.1032,1,0.34327,1
latency_breach,latency_breach-98,137.0874,1,0.49335,1
latency_breach,latency_breach-99,131.289,1,0.24849,0
latency_breach,latency_breach-100,164.1743,1,0.50605,1
latency_breach,latency_breach-101,133.2375,1,0.30016,1
latency_breach,latency_breach-102,122.0211,1,0.64196,1
latency_breach,latency_breach-103,170.6201,1,0.24451,1
latency_breach,latency_breach-104,146.2563,1,0.56517,1
latency_breach,latency_breach-105,112.777,1,0.21424,1
latency_breach,latency_breach-106,137.9177,1,0.65321,1
latency_breach,latency_breach-107,110.3621,1,0.33143,1
latency_breach,latency_breach-108,103.8795,1,0.16021,1
latency_breach,latency_breach-109,153.6135,1,0.40534,1
latency_breach,latency_breach-110,102.4009,1,0.51603,1
latency_breach,latency_breach-111,137.9646,1,0.37207,1
latency_breach,latency_breach-112,104.3309,1,0.21842,1
latency_breach,latency_breach-113,92.0449,1,0.56925,1
latency_breach,latency_breach-114,117.8053,1,0.57637,1
latency_breach,latency_breach-115,139.4298,1,0.73334,0
latency_breach,latency_breach-116,153.5429,1,0.38095,1
latency_breach,latency_breach-117,107.2847,1,0.16499,1
latency_breach,latency_breach-118,162.273,1,0.83355,1
latency_breach,latency_breach-119,96.3176,1,0.81598,1
latency_breach,latency_breach-120,140.7684,1,0.45179,0
latency_breach,latency_breach-121,146.5157,1,0.59358,1
latency_breach,latency_breach-122,166.9663,1,0.23541,1
latency_breach,latency_breach-123,177.4349,1,0.64073,1
latency_breach,latency_breach-124,165.5798,1,0.18044,1
latency_breach,latency_breach-125,178.6629,1,0.70776,1
latency_breach,latency_breach-126,121.1456,1,0.40275,0
latency_breach,latency_breach-127,109.0303,1,0.30282,0
latency_breach,latency_breach-128,119.5964,1,0.8289,1
latency_breach,latency_breach-129,107.5812,1,0.79566,1
latency_breach,latency_breach-130,114.0348,1,0.89899,0
latency_breach,latency_breach-131,141.5125,1,0.34566,1
latency_breach,latency_breach-132,156.7534,1,0.91636,0
latency_breach,latency_breach-133,95.4127,1,0.82697,1
latency_breach,latency_breach-134,178.0486,1,0.27527,1
latency_breach,latency_breach-135,135.5535,1,0.18271,1
latency_breach,latency_breach-136,172.1208,1,0.35004,1
latency_breach,latency_breach-137,175.5433,1,0.82177,1
latency_breach,latency_breach-138,157.4854,1,0.52942,1
latency_breach,latency_breach-139,123.1929,1,0.53081,1
latency_breach,latency_breach-140,179.5287,1,0.333,1
latency_breach,latency_breach-141,121.7332,1,0.36811,1
latency_breach,latency_breach-142,127.4019,1,0.44764,1
latency_breach,latency_breach-143,120.2676,1,0.57071,1
latency_breach,latency_breach-144,172.7993,1,0.52939,1
latency_breach,latency_breach-145,167.7982,1,0.358,1
latency_breach,latency_breach-146,156.4719,1,0.9265,1
latency_breach,latency_breach-147,101.1942,1,0.66344,1
latency_breach,latency_breach-148,160.6048,1,0.1581,1
latency_breach,latency_breach-149,155.3205,1,0.74549,1
latency_breach,latency_breach-150,165.5008,1,0.16241,1
latency_breach,latency_breach-151,102.7956,1,0.85155,1
latency_breach,latency_breach-152,140.7032,1,0.35196,0
latency_breach,latency_breach-153,161.15,1,0.33302,1
latency_breach,latency_breach-154,139.395,1,0.69069,1
latency_breach,latency_breach-155,151.2487,1,0.27962,1
latency_breach,latency_breach-156,110.738,1,0.43955,1
latency_breach,latency_breach-157,121.3711,1,0.65995,1
latency_breach,latency_breach-158,176.003,1,0.17404,1
latency_breach,latency_breach-159,106.7379,1,0.26329,0
latency_breach,latency_breach-160,110.7053,1,0.67338,1
latency_breach,latency_breach-161,173.6433,1,0.38953,1
latency_breach,latency_breach-162,118.4479,1,0.34694,1
latency_breach,latency_breach-163,161.1209,1,0.47446,1
latency_breach,latency_breach-164,139.9851,1,0.58516,1
latency_breach,latency_breach-165,165.4049,1,0.47528,1
latency_breach,latency_breach-166,173.6716,1,0.86405,1
latency_breach,latency_breach-167,126.0809,1,0.60753,1
latency_breach,latency_breach-168,149.7433,1,0.67052,1
latency_breach,latency_breach-169,161.5547,1,0.83933,1
latency_breach,latency_breach-170,97.9335,1,0.41789,1
latency_breach,latency_breach-171,165.7739,1,0.29219,1
latency_breach,latency_breach-172,90.0267,1,0.1978,1
latency_breach,latency_breach-173,118.7881,1,0.22922,1
latency_breach,latency_breach-174,140.1225,1,0.59259,1
latency_breach,latency_breach-175,127.8497,1,0.75163,1
latency_breach,latency_breach-176,110.0091,1,0.32999,1
latency_breach,latency_breach-177,155.3141,1,0.30554,1
latency_breach,latency_breach-178,113.4196,1,0.74003,1
latency_breach,latency_breach-179,98.4011,1,0.79547,1
latency_breach,latency_breach-180,95.5728,1,0.62417,1
latency_breach,latency_breach-181,161.6823,1,0.82218,1
latency_breach,latency_breach-182,121.9415,1,0.58873,1
latency_breach,latency_breach-183,98.7426,1,0.80997,1
latency_breach,latency_breach-184,122.0809,1,0.89948,1
latency_breach,latency_breach-185,165.2391,1,0.70441,1
latency_breach,latency_breach-186,159.1717,1,0.87238,1
latency_breach,latency_breach-187,102.9896,1,0.28317,1
latency_breach,latency_breach-188,118.6981,1,0.83084,0
latency_breach,latency_breach-189,120.2006,1,0.45008,1
latency_breach,latency_breach-190,138.5222,1,0.30421,1
latency_breach,latency_breach-191,94.9115,1,0.66334,1
latency_breach,latency_breach-192,175.6126,1,0.39493,1
latency_breach,latency_breach-193,118.2982,1,0.70482,1
latency_breach,latency_breach-194,144.1602,1,0.373,1
latency_breach,latency_breach-195,150.2109,1,0.90554,0
latency_breach,latency_breach-196,140.7569,1,0.24881,1
latency_breach,latency_breach-197,173.5541,1,0.37832,1
latency_breach,latency_breach-198,152.5854,1,0.90195,0
latency_breach,latency_breach-199,150.7593,1,0.23543,1
latency_breach,latency_breach-200,118.5436,1,0.49146,1
latency_breach,latency_breach-201,104.2166,1,0.32313,1
latency_breach,latency_breach-202,174.3202,1,0.36652,1
latency_breach,latency_breach-203,117.2172,1,0.21796,1
latency_breach,latency_breach-204,121.9122,1,0.55542,1
latency_breach,latency_breach-205,149.421,1,0.60692,1
latency_breach,latency_breach-206,127.3241,1,0.60408,1
latency_breach,latency_breach-207,126.9417,1,0.90024,1
latency_breach,latency_breach-208,96.8424,1,0.66445,1
latency_breach,latency_breach-209,116.7657,1,0.61482,1
latency_breach,latency_breach-210,178.4528,1,0.92449,0
latency_breach,latency_breach-211,96.2809,1,0.33607,1
latency_breach,latency_breach-212,149.2511,1,0.27958,0
latency_breach,latency_breach-213,126.5382,1,0.3173,1
latency_breach,latency_breach-214,169.2719,1,0.72552,1
latency_breach,latency_breach-215,119.5522,1,0.72088,1
latency_breach,latency_breach-216,99.5833,1,0.89132,1
latency_breach,latency_breach-217,134.4769,1,0.7568,1
latency_breach,latency_breach-218,133.2829,1,0.42734,1
latency_breach,latency_breach-219,107.1585,1,0.92623,1
latency_breach,latency_breach-220,152.6169,1,0.82042,1
latency_breach,latency_breach-221,133.7135,1,0.81324,1
latency_breach,latency_breach-222,159.1868,1,0.34173,1
latency_breach,latency_breach-223,165.0569,1,0.9485,1
latency_breach,latency_breach-224,163.7534,1,0.85353,1
latency_breach,latency_breach-225,104.3613,1,0.2327,1
latency_breach,latency_breach-226,167.013,1,0.82163,1
latency_breach,latency_breach-227,121.006,1,0.81905,1
latency_breach,latency_breach-228,144.4094,1,0.48513,1
latency_breach,latency_breach-229,178.6541,1,0.9217,1
latency_breach,latency_breach-230,132.0418,1,0.48925,1
latency_breach,latency_breach-231,130.9765,1,0.74254,1
latency_breach,latency_breach-232,116.4771,1,0.75706,1
latency_breach,latency_breach-233,164.2559,1,0.86076,1
latency_breach,latency_breach-234,178.4893,1,0.61805,1
latency_breach,latency_breach-235,142.3515,1,0.81063,1
latency_breach,latency_breach-236,108.8378,1,0.29837,1
latency_breach,latency_breach-237,176.3076,1,0.29415,1
latency_breach,latency_breach-238,133.8578,1,0.42259,1
latency_breach,latency_breach-239,103.2279,1,0.29626,1
degenerate_quality_breach,degenerate_quality_breach-0,22.4512,0,0.5,1
degenerate_quality_breach,degenerate_quality_breach-1,53.1141,0,0.5,0
degenerate_quality_breach,degenerate_quality_breach-2,21.2628,0,0.5,1
degenerate_quality_breach,degenerate_quality_breach-3,53.5667,0,0.5,0
degenerate_quality_breach,degenerate_quality_breach-4,42.3525,0,0.5,1
degenerate_quality_breach,degenerate_quality_breach-5,22.2879,1,0.5,1
degenerate_quality_breach,degenerate_quality_breach-6,29.7543,1,0.5,0
degenerate_quality_breach,degenerate_quality_breach-7,48.2926,1,0.5,0
degenerate_quality_breach,degenerate_quality_breach-8,48.9833,1,0.5,1
degenerate_quality_breach,degenerate_quality_breach-9,53.8865,1,0.5,0
degenerate_quality_breach,degenerate_quality_breach-10,49.4228,1,0.5,0
degenerate_quality_breach,degenerate_quality_breach-11,39.3405,1,0.5,0
degenerate_quality_breach,degenerate_quality_breach-12,25.5697,1,0.5,0
degenerate_quality_breach,degenerate_quality_breach-13,40.2154,1,0.5,0
degenerate_quality_breach,degenerate_quality_breach-14,18.0795,1,0.5,0
degenerate_quality_breach,degenerate_quality_breach-15,33.0564,1,0.5,1
degenerate_quality_breach,degenerate_quality_breach-16,50.8539,1,0.5,0
degenerate_quality_breach,degenerate_quality_breach-17,48.5497,1,0.5,1
degenerate_quality_breach,degenerate_quality_breach-18,33.8226,1,0.5,1
degenerate_quality_breach,degenerate_quality_breach-19,27.6929,1,0.5,0
degenerate_quality_breach,degenerate_quality_breach-20,46.5262,1,0.5,1
degenerate_quality_breach,degenerate_quality_breach-21,21.9164,1,0.5,1
degenerate_quality_breach,degenerate_quality_breach-22,48.1797,1,0.5,1
degenerate_quality_breach,degenerate_quality_breach-23,50.9975,1,0.5,1
degenerate_quality_breach,degenerate_quality_breach-24,46.809,1,0.5,1
degenerate_quality_breach,degenerate_quality_breach-25,35.3612,1,0.5,1
degenerate_quality_breach,degenerate_quality_breach-26,24.574,1,0.5,1
degenerate_quality_breach,degenerate_quality_breach-27,38.0877,1,0.5,1
degenerate_quality_breach,degenerate_quality_breach-28,51.0604,1,0.5,0
degenerate_quality_breach,degenerate_quality_breach-29,40.161,1,0.5,1
degenerate_quality_breach,degenerate_quality_breach-30,25.1564,1,0.5,0
degenerate_quality_breach,degenerate_quality_breach-31,37.8262,1,0.5,0
degenerate_quality_breach,degenerate_quality_breach-32,31.4932,1,0.5,1
degenerate_quality_breach,degenerate_quality_breach-33,34.1571,1,0.5,0
degenerate_quality_breach,degenerate_quality_breach-34,39.8033,1,0.5,1
degenerate_quality_breach,degenerate_quality_breach-35,28.2632,1,0.5,0
degenerate_quality_breach,degenerate_quality_breach-36,52.4997,1,0.5,1
degenerate_quality_breach,degenerate_quality_breach-37,35.5579,1,0.5,1
degenerate_quality_breach,degenerate_quality_breach-38,18.9508,1,0.5,1
degenerate_quality_breach,degenerate_quality_breach-39,48.0315,1,0.5,1
degenerate_quality_breach,degenerate_quality_breach-40,39.9896,1,0.5,1
