candidate_id,audit_group,score,qualified,selected
c0158,A,0.372717,0,0
c0159,B,0.898007,1,1
c0160,A,1.0,1,1
c0161,B,0.859673,1,1
c0162,A,0.018725,0,0
c0163,B,0.859184,1,1
c0164,A,0.898123,1,1
c0165,B,0.156744,0,0
c0166,A,0.913631,1,1
c0167,B,0.960522,1,1
c0168,A,0.258532,0,0
c0169,B,0.224004,0,0
c0170,A,0.797802,1,1
c0171,B,0.210465,0,0
c0172,A,0.465743,0,0
c0173,B,0.121899,0,0
c0174,A,0.45935,1,0
c0175,B,0.669105,1,1
c0176,A,1.0,1,1
c0177,B,0.319282,0,0
c0178,A,0.958816,1,1
c0179,B,0.472706,0,0
c0180,A,0.686004,1,1
c0181,B,0.612016,1,1
c0182,A,0.330817,0,0
c0183,B,0.680391,1,1
c0184,A,0.090493,0,0
c0185,B,0.674587,1,1
c0186,A,0.705533,1,1
c0187,B,0.003108,0,0
c0188,A,0.630706,1,1
c0189,B,0.908827,1,1
c0190,A,0.698355,1,1
c0191,B,0.473803,0,0
c0192,A,0.390589,0,0
c0193,B,0.460486,0,0
c0194,A,0.864193,1,1
c0195,B,0.460481,1,0
c0196,A,0.298773,0,0
c0197,B,0.286237,0,0
c0198,A,0.327647,0,0
c0199,B,0.408794,0,0
c0200,A,0.462638,0,0
c0201,B,0.989409,1,1
c0202,A,0.812306,1,1
c0203,B,0.544932,1,1
c0204,A,0.557566,1,1
c0205,B,0.878246,1,1
c0206,A,0.681255,1,1
c0207,B,0.077063,0,0
c0208,A,0.090981,0,0
c0209,B,0.097062,0,0
c0210,A,0.378372,0,0
c0211,B,0.658058,1,1
c0212,A,0.498794,0,0
c0213,B,0.122343,0,0
c0214,A,0.755736,1,1
c0215,B,0.387465,0,0
c0216,A,0.269182,0,0
c0217,B,0.024989,0,0
c0218,A,0.300372,0,0
c0219,B,0.729411,1,1
c0220,A,0.774895,1,1
c0221,B,0.94186,1,1
c0222,A,0.79454,1,1
c0223,B,0.421869,1,0
c0224,A,0.667583,1,1
c0225,B,0.693097,1,1
c0226,A,0.471194,0,0
c0227,B,0.697854,1,1
c0228,A,0.654504,1,1
c0229,B,0.259611,0,0
c0230,A,0.063302,0,0
c0231,B,0.381817,0,0
c0232,A,0.577591,1,1
c0233,B,0.738276,1,1
c0234,A,0.781707,1,1
c0235,B,0.574759,1,1
c0236,A,0.43815,0,0
c0237,B,0.985306,1,1
c0238,A,0.531147,1,1
c0239,B,0.617038,1,1
c0240,A,0.45482,0,0
c0241,B,0.756234,1,1
c0242,A,0.933276,1,1
c0243,B,0.723467,1,1
c0244,A,0.501133,1,1
c0245,B,0.185301,0,0
c0246,A,0.507049,0,1
c0247,B,0.692275,1,1
c0248,A,0.450006,0,0
c0249,B,0.204933,0,0
c0250,A,0.701183,1,1
c0251,B,0.577894,1,1
c0252,A,0.000141,0,0
c0253,B,0.427938,0,0
c0254,A,0.010278,0,0
c0255,B,0.364841,0,0
c0256,A,0.664346,1,1
c0257,B,0.92391,1,1
c0258,A,0.26605,0,0
c0259,B,0.54721,1,1
c0260,A,0.931781,1,1
c0261,B,0.875051,1,1
c0262,A,0.656956,1,1
c0263,B,0.003863,0,0
c0264,A,0.044301,0,0
c0265,B,0.703442,1,1
c0266,A,0.58877,1,1
c0267,B,0.888442,1,1
c0268,A,0.064008,0,0
c0269,B,0.031658,0,0
c0270,A,0.856631,1,1
c0271,B,0.017265,0,0
c0272,A,0.223106,0,0
c0273,B,0.215725,0,0
c0274,A,0.82385,1,1
c0275,B,0.683558,1,1
c0276,A,0.123851,0,0
c0277,B,0.446054,1,0
c0278,A,0.260104,0,0
c0279,B,0.33304,0,0
c0280,A,0.363095,0,0
c0281,B,0.410253,0,0
c0282,A,0.866162,1,1
c0283,B,0.926839,1,1
c0284,A,0.695105,1,1
c0285,B,0.325106,0,0
c0286,A,0.795788,1,1
c0287,B,0.794536,1,1
c0288,A,0.45307,1,0
c0289,B,0.739882,1,1
c0290,A,0.358333,0,0
c0291,B,0.0,0,0
c0292,A,0.885079,1,1
c0293,B,0.699704,1,1
c0294,A,0.53255,0,1
c0295,B,0.209835,0,0
c0296,A,0.233723,0,0
c0297,B,0.810617,1,1
c0298,A,0.699306,1,1
c0299,B,0.959335,1,1
c0300,A,0.068296,0,0
c0301,B,0.667152,1,1
c0302,A,0.634058,1,1
c0303,B,0.719167,1,1
c0304,A,0.114842,0,0
c0305,B,0.426997,0,0
c0306,A,0.484507,1,0
c0307,B,0.441964,0,0
c0308,A,0.685351,1,1
c0309,B,0.379833,0,0
c0310,A,0.289401,0,0
c0311,B,0.155532,0,0
c0312,A,0.539781,1,1
c0313,B,0.165341,0,0
c0314,A,0.449337,0,0
c0315,B,0.308182,1,0
c0316,A,0.325418,0,0
c0317,B,0.258517,0,0
c0318,A,0.277932,0,0
c0319,B,0.28309,0,0
c0320,A,0.857484,1,1
c0321,B,0.085581,0,0
c0322,A,0.706292,1,1
c0323,B,0.583368,1,1
c0324,A,0.421855,0,0
c0325,B,0.070038,0,0
c0326,A,0.793853,1,1
c0327,B,0.421442,0,0
c0328,A,0.055835,0,0
c0329,B,0.129902,0,0
c0330,A,0.478033,1,0
c0331,B,0.359531,0,0
c0332,A,0.65336,1,1
c0333,B,0.13804,0,0
c0334,A,0.44021,1,0
c0335,B,0.886634,1,1
c0336,A,0.952031,1,1
c0337,B,0.714396,1,1
c0338,A,0.791758,1,1
c0339,B,0.193368,0,0
c0340,A,0.687685,1,1
c0341,B,0.116309,0,0
c0342,A,0.0,0,0
c0343,B,0.32412,0,0
c0344,A,0.198172,0,0
c0345,B,0.333907,0,0
c0346,A,0.812461,1,1
c0347,B,0.560247,1,1
c0348,A,0.738158,1,1
c0349,B,0.510485,1,1
c0350,A,0.773279,1,1
c0351,B,0.0,0,0
c0352,A,0.11882,0,0
c0353,B,0.693596,1,1
c0354,A,0.37538,0,0
c0355,B,0.785802,1,1
c0356,A,0.849326,1,1
c0357,B,0.080165,0,0
c0358,A,0.0,0,0
c0359,B,0.279599,0,0
c0360,A,0.239103,0,0
c0361,B,0.539142,1,1
c0362,A,1.0,1,1
c0363,B,0.26919,0,0
c0364,A,0.043784,0,0
c0365,B,0.561366,1,1
c0366,A,0.960368,1,1
c0367,B,0.731249,1,1
c0368,A,0.553883,0,1
c0369,B,0.373439,0,0
c0370,A,0.714964,1,1
c0371,B,0.637883,1,1
c0372,A,0.426238,0,0
c0373,B,0.500596,1,1
c0374,A,0.426945,0,0
c0375,B,1.0,1,1
c0376,A,0.166974,0,0
c0377,B,0.635845,1,1
c0378,A,0.4985,1,0
c0379,B,0.388516,0,0
c0380,A,0.661121,1,1
c0381,B,0.107745,0,0
c0382,A,0.626401,1,1
c0383,B,0.660543,1,1
c0384,A,0.229485,0,0
c0385,B,0.22089,0,0
c0386,A,0.062093,0,0
c0387,B,0.061362,0,0
c0388,A,1.0,1,1
c0389,B,0.071167,0,0
c0390,A,0.705108,1,1
c0391,B,0.510169,1,1
c0392,A,0.387178,0,0
c0393,B,0.050621,0,0
c0394,A,0.41683,1,0
c0395,B,0.628901,1,1
c0396,A,0.921572,1,1
c0397,B,0.741493,1,1
c0398,A,0.502176,0,1
c0399,B,0.78231,1,1
c0400,A,0.250884,0,0
c0401,B,1.0,1,1
c0402,A,0.548833,0,1
c0403,B,0.425101,0,0
c0404,A,0.466991,1,0
c0405,B,0.29801,0,0
c0406,A,0.154901,0,0
c0407,B,0.134986,0,0
c0408,A,0.902802,1,1
c0409,B,0.74103,1,1
c0410,A,0.722291,1,1
c0411,B,0.898248,1,1
c0412,A,0.958854,1,1
c0413,B,0.502936,1,1
c0414,A,0.701465,1,1
c0415,B,0.321352,0,0
c0416,A,0.402526,1,0
c0417,B,0.444221,0,0
c0418,A,0.705712,1,1
c0419,B,1.0,1,1
c0420,A,0.297735,0,0
c0421,B,0.743299,1,1
c0422,A,0.901954,1,1
c0423,B,0.256183,0,0
c0424,A,0.728301,1,1
c0425,B,0.0,0,0
c0426,A,0.0,0,0
c0427,B,0.865156,1,1
c0428,A,0.713435,1,1
c0429,B,0.648428,1,1
c0430,A,0.757092,1,1
c0431,B,0.946088,1,1
c0432,A,0.06505,0,0
c0433,B,0.310955,0,0
c0434,A,0.044191,0,0
c0435,B,0.772409,1,1
c0436,A,0.312323,0,0
c0437,B,0.696765,1,1
c0438,A,0.278789,0,0
c0439,B,0.437996,0,0
c0440,A,0.253609,0,0
c0441,B,0.81562,1,1
c0442,A,0.8806,1,1
c0443,B,0.399585,0,0
c0444,A,0.248229,0,0
c0445,B,0.364601,0,0
c0446,A,0.280156,0,0
c0447,B,0.340645,0,0
c0448,A,0.491577,0,0
c0449,B,0.678688,1,1
c0450,A,0.93074,1,1
c0451,B,0.870323,1,1
c0452,A,0.163044,0,0
c0453,B,0.695672,1,1
c0454,A,0.0,0,0
c0455,B,0.846044,1,1
c0456,A,0.319238,0,0
c0457,B,0.248087,0,0
c0458,A,0.549314,1,1
c0459,B,0.63802,1,1
c0460,A,0.718489,1,1
c0461,B,0.807755,1,1
c0462,A,0.615125,1,1
c0463,B,0.659986,1,1
c0464,A,0.78882,1,1
c0465,B,0.783378,1,1
c0466,A,0.242839,0,0
c0467,B,1.0,1,1
c0468,A,0.659849,1,1
c0469,B,0.179017,0,0
c0470,A,0.680639,1,1
c0471,B,0.76306,1,1
c0472,A,0.492595,0,0
c0473,B,0.276712,0,0
c0474,A,1.0,1,1
c0475,B,0.881076,1,1
c0476,A,0.992944,1,1
c0477,B,0.718784,1,1
c0478,A,0.0,0,0
c0479,B,0.652758,1,1
c0480,A,0.544108,1,1
c0481,B,0.864933,1,1
c0482,A,0.110174,0,0
c0483,B,0.902153,1,1
c0484,A,0.610166,1,1
c0485,B,0.034487,0,0
c0486,A,0.881015,1,1
c0487,B,0.371712,0,0
c0488,A,0.204086,0,0
c0489,B,0.470046,0,0
c0490,A,0.129998,0,0
c0491,B,0.425539,0,0
c0492,A,0.662158,1,1
c0493,B,0.226034,0,0
c0494,A,0.789029,1,1
c0495,B,0.167385,0,0
c0496,A,0.324421,0,0
c0497,B,0.140141,0,0
c0498,A,0.186629,0,0
c0499,B,0.923777,1,1
c0500,A,0.059906,0,0
c0501,B,0.885602,1,1
c0502,A,0.317041,0,0
c0503,B,0.153158,0,0
c0504,A,0.73482,1,1
c0505,B,0.674814,1,1
c0506,A,0.736531,1,1
c0507,B,0.262387,0,0
c0508,A,0.09821,0,0
c0509,B,0.753252,1,1
c0510,A,0.241446,0,0
c0511,B,0.486386,0,0
c0512,A,0.152443,0,0
c0513,B,0.854879,1,1
c0514,A,0.186293,0,0
c0515,B,0.218798,0,0
c0516,A,0.67472,1,1
c0517,B,0.792217,1,1
c0518,A,0.215798,0,0
c0519,B,0.09668,0,0
c0520,A,0.611112,1,1
c0521,B,0.454646,0,0
c0522,A,0.739705,1,1
c0523,B,0.500645,1,1
c0524,A,1.0,1,1
c0525,B,0.904628,1,1
c0526,A,0.322279,1,0
c0527,B,0.114584,0,0
c0528,A,0.379735,0,0
c0529,B,0.560846,0,1
c0530,A,0.939099,1,1
c0531,B,0.622927,1,1
c0532,A,0.047949,0,0
c0533,B,0.660244,1,1
c0534,A,0.423514,0,0
c0535,B,0.450395,0,0
c0536,A,0.706483,1,1
c0537,B,0.92542,1,1
c0538,A,0.666107,1,1
c0539,B,0.088131,0,0
c0540,A,0.461361,0,0
c0541,B,0.525622,0,1
c0542,A,0.485766,0,0
c0543,B,0.712583,1,1
c0544,A,0.478335,0,0
c0545,B,0.215434,0,0
c0546,A,0.861814,1,1
c0547,B,0.758728,1,1
c0548,A,0.712055,1,1
c0549,B,0.524714,1,1
c0550,A,0.383402,0,0
c0551,B,0.717258,1,1
c0552,A,0.836672,1,1
c0553,B,0.874166,1,1
c0554,A,0.537773,1,1
c0555,B,0.297103,0,0
c0556,A,0.662905,1,1
c0557,B,0.883162,1,1
c0558,A,0.375831,0,0
c0559,B,0.703024,1,1
c0560,A,0.991046,1,1
c0561,B,0.59004,1,1
c0562,A,0.824245,1,1
c0563,B,0.859683,1,1
c0564,A,0.320207,0,0
c0565,B,0.421869,0,0
c0566,A,0.501265,0,1
c0567,B,0.572518,1,1
c0568,A,0.471971,0,0
c0569,B,0.1188,0,0
c0570,A,0.764254,1,1
c0571,B,0.42238,0,0
c0572,A,0.345456,0,0
c0573,B,0.431237,1,0
c0574,A,0.129244,0,0
c0575,B,0.633035,1,1
c0576,A,0.657659,1,1
c0577,B,0.602349,0,1
c0578,A,0.422584,0,0
c0579,B,0.246563,0,0
c0580,A,0.404921,0,0
c0581,B,0.60453,0,1
c0582,A,0.744124,1,1
c0583,B,0.621912,1,1
c0584,A,0.0,0,0
c0585,B,0.189495,0,0
c0586,A,0.250822,0,0
c0587,B,0.755804,1,1
c0588,A,0.084627,0,0
c0589,B,0.585557,1,1
c0590,A,0.844055,1,1
c0591,B,0.83273,1,1
c0592,A,0.221377,0,0
c0593,B,0.883295,1,1
c0594,A,0.463112,1,0
c0595,B,0.361717,0,0
c0596,A,0.185464,0,0
c0597,B,0.810586,1,1
c0598,A,0.706694,1,1
c0599,B,0.0,0,0
